order_number,customer_name,customer_email,product_name,product_sku,quantity,total_amount,order_date,shipping_status,tracking_number,carrier,delivery_address
#34933,Emma Williams,emma.williams41@hotmail.com,RAM 16GB DDR4,RAM-132,4,239.96,2026-01-15,shipped,32749648897784,OnTrac,"5097 Sunset Blvd, Houston, TX 77001"
#62140,Brandon Sanchez,brandon.sanchez66@yahoo.com,Mini Projector,MP-113,2,399.98,2026-04-05,delivered,9356151458,DHL,"902 Main St, Miami, FL 33101"
#81972,Barbara Gray,barbara.gray12@proton.me,Mechanical Keyboard,MK-200,4,359.96,2025-11-26,pending,,,"3317 Forest Dr, Bakersfield, CA 93301"
#46563,Emily Collins,emily.collins54@gmail.com,Capture Card,CC-126,1,89.99,2026-04-01,shipped,19997990583438,OnTrac,"7447 Highland Ave, Phoenix, AZ 85001"
#36272,Sandra Perry,sandra.perry80@hotmail.com,Smartphone Gimbal,SG-129,2,219.98,2025-12-15,shipped,75403190737177,Amazon Logistics,"6319 Broadway, Pittsburgh, PA 15201"
#22979,Kimberly Sanchez,kimberly.sanchez59@gmail.com,Gaming Mouse,GM-122,1,69.99,2026-02-24,delivered,41954189207646657512,USPS,"3394 Broadway, Omaha, NE 68101"
#34638,Nicholas Diaz,nicholas.diaz63@outlook.com,NVMe SSD 500GB,NVM-131,3,239.97,2025-12-24,delivered,76874218337426,OnTrac,"3806 Summit Ave, Denver, CO 80201"
#94274,Sandra Nelson,sandra.nelson51@outlook.com,Cable Management Box,CMB-108,4,99.96,2026-03-07,processing,,,"2725 Washington Blvd, Miami, FL 33101"
#22220,Jason Sanders,jason.sanders93@icloud.com,RAM 16GB DDR4,RAM-132,4,239.96,2026-04-12,shipped,135945881231,FedEx,"3326 Maple Dr, New Orleans, LA 70112"
#27410,Daniel Brooks,daniel.brooks37@proton.me,Portable Monitor,PM-130,4,999.96,2026-02-23,pending,,,"1824 Meadow Ln, San Francisco, CA 94101"
#21907,Timothy Stewart,timothy.stewart71@hotmail.com,Capture Card,CC-126,1,89.99,2026-03-14,delivered,724531100185,FedEx,"7926 Cedar Ln, Louisville, KY 40201"
#94506,Dorothy Mitchell,dorothy.mitchell36@yahoo.com,Mechanical Keyboard,MK-200,1,89.99,2026-01-15,shipped,1Z9620612022779999,UPS,"1633 Washington Blvd, Pittsburgh, PA 15201"
#39598,Jacob Baker,jacob.baker23@gmail.com,LED Desk Lamp,LDL-800,2,69.98,2026-04-12,delivered,19408875108666,OnTrac,"7892 Elm St, San Jose, CA 95101"
#78723,Debra Williams,debra.williams47@proton.me,Notebook Hardcover,NB-142,3,44.97,2025-11-25,delivered,3231958704,DHL,"4545 Washington Blvd, Atlanta, GA 30301"
#47334,Mark Price,mark.price13@proton.me,Noise Cancelling Headphones,NCH-600,1,129.99,2026-02-10,out_for_delivery,28139748303994,Amazon Logistics,"8316 Park Ave, Cleveland, OH 44101"
#23920,Deborah Ward,deborah.ward33@outlook.com,Standing Desk Mat,SDM-101,4,223.96,2026-01-15,shipped,61539216193568,OnTrac,"4925 Lake Dr, Columbus, OH 43085"
#28505,Larry Bennett,larry.bennett85@yahoo.com,Desk Organizer,DO-116,2,55.98,2026-04-11,shipped,80423142916840,OnTrac,"9335 Broadway, Aurora, CO 80010"
#16602,Michelle Hughes,michelle.hughes66@hotmail.com,Gaming Headset,GH-123,3,359.97,2025-12-22,delivered,2840859131,DHL,"5583 Lake Dr, Salt Lake City, UT 84101"
#73925,Melissa Adams,melissa.adams37@icloud.com,Desk Organizer,DO-116,2,55.98,2025-11-30,delivered,1Z9108361927679223,UPS,"7840 Highland Ave, Salt Lake City, UT 84101"
#51356,Paul Watson,paul.watson33@yahoo.com,NVMe SSD 500GB,NVM-131,3,239.97,2026-01-17,shipped,26666349517913,OnTrac,"5221 Maple Dr, St. Louis, MO 63101"
#27392,Dorothy Harris,dorothy.harris8@hotmail.com,Earbuds Pro,EP-121,2,199.98,2026-02-21,pending,,,"5836 Willow Way, Tampa, FL 33601"
#67114,David Williams,david.williams58@yahoo.com,Tripod Stand,TS-128,2,79.98,2026-01-19,shipped,47806211569069,Amazon Logistics,"4556 Lake Dr, Columbus, OH 43085"
#42932,Helen Martinez,helen.martinez38@outlook.com,Smartphone Gimbal,SG-129,2,219.98,2025-12-21,processing,,,"1693 Park Ave, Springfield, IL 62701"
#59462,Nicholas Bailey,nicholas.bailey15@proton.me,Smartphone Gimbal,SG-129,1,109.99,2026-04-15,shipped,4400507287,DHL,"2885 Hillside Rd, Kansas City, MO 64101"
